g0310.asc,12,2,1,866750,866772,24,1086.4,557.7,968.0,566.9,3.01,244
g0310.asc,13,2,1,873760,873806,48,954.9,533.2,419.5,563.0,13.07,456
g0310.asc,13,2,1,874068,874134,68,418.6,544.1,1526.2,630.5,26.54,684
g0310.asc,13,2,1,874276,874290,16,1521.2,620.9,1557.1,600.6,1.03,117
g0310.asc,13,2,1,874532,874594,64,1541.3,587.6,475.7,599.3,25.46,630
g0310.asc,13,2,1,874740,874754,16,459.9,579.8,420.4,583.5,0.93,98
g0310.asc,14,1,1,878878,879040,164,950.1,509.4,864.9,542.7,2.35,335
g0310.asc,14,1,1,879154,879172,20,855.8,443.0,935.6,466.7,2.13,169
g0310.asc,14,2,1,882150,882196,48,966.8,538.7,1495.6,551.5,13.18,432
g0310.asc,14,2,1,882314,882332,20,1486.9,555.9,1542.3,558.4,1.35,118
g0310.asc,14,2,1,882490,882556,68,1541.3,558.3,417.4,599.9,26.78,620
g0310.asc,14,2,1,882766,882772,8,411.0,577.3,421.8,569.2,0.33,71
g0310.asc,14,2,1,883070,883140,72,417.8,551.8,1661.8,610.0,29.31,686
g0310.asc,14,2,1,883270,883284,16,1630.0,595.8,1575.5,588.8,1.32,127
g0310.asc,14,2,1,883678,883724,48,1553.6,573.3,1022.4,574.4,13.13,472
g0310.asc,15,2,1,890554,890600,48,976.7,546.7,443.9,587.7,13.08,468
g0310.asc,15,2,1,890830,890892,64,437.1,586.4,1565.1,623.7,26.84,710
g0310.asc,15,2,1,891046,891056,12,1544.6,603.4,1575.3,597.6,0.76,94
g0310.asc,15,2,1,891350,891420,72,1574.6,577.8,436.8,620.6,27.12,611
g0310.asc,15,2,1,891586,891656,72,420.7,604.5,1588.9,629.2,27.69,600
g0310.asc,16,2,1,896634,896676,44,970.3,530.8,439.1,563.9,13.05,444
g0310.asc,16,2,1,896950,897012,64,445.3,571.9,1573.5,603.0,26.94,705
g0310.asc,16,2,1,897170,897188,20,1553.5,581.0,1608.5,569.7,1.36,143
g0310.asc,16,2,1,897526,897588,64,1591.1,550.2,537.2,573.1,25.43,640
g0310.asc,16,2,1,897710,897724,16,508.6,553.1,452.5,555.0,1.34,132
g0310.asc,17,1,1,902640,902650,12,967.4,566.2,980.5,552.0,0.52,65
g0310.asc,17,2,1,905216,905258,44,962.6,551.4,435.5,585.2,12.95,436
g0310.asc,17,2,1,905528,905590,64,433.5,585.8,1555.8,620.2,26.77,658
g0310.asc,17,2,1,905776,905790,16,1537.5,598.4,1573.2,587.7,0.91,109
g0310.asc,17,2,1,906180,906226,48,1551.9,592.5,969.8,586.2,14.41,534
g0310.asc,18,1,1,910284,910306,24,854.8,473.5,951.8,507.0,2.64,201
g0310.asc,18,1,1,913140,913146,8,950.1,537.2,943.7,530.2,0.26,61
g0310.asc,18,2,1,913420,913466,48,940.6,534.9,448.4,572.7,12.08,377
g0310.asc,18,2,1,913584,913594,12,438.7,569.1,402.3,568.9,0.85,106
g0310.asc,18,2,1,913752,913818,68,407.5,568.3,1571.5,559.8,27.72,706
g0310.asc,18,2,1,914008,914018,12,1558.0,541.6,1576.8,549.6,0.51,63
g0310.asc,18,2,1,914540,914610,72,1551.4,547.7,1045.9,558.5,12.59,474
g0310.asc,19,1,1,917784,917806,24,837.0,474.4,924.4,462.8,2.24,174
g0310.asc,19,1,1,917848,917874,28,930.0,454.9,926.5,499.9,1.28,82
g0310.asc,19,1,1,918424,918610,188,961.4,510.9,911.3,521.5,1.31,293
g0310.asc,19,1,1,918688,918698,12,914.2,492.5,913.2,523.6,0.88,109
g0310.asc,19,1,1,918728,918742,16,913.3,539.2,950.7,535.9,0.95,108
g0310.asc,19,2,1,920772,920818,48,950.0,568.0,516.2,563.2,10.67,367
g0310.asc,19,2,1,920924,920938,16,501.1,557.3,435.6,568.6,1.58,162
g0310.asc,19,2,1,921136,921202,68,420.7,563.4,1518.3,607.5,26.25,657
g0310.asc,19,2,1,921336,921350,16,1513.2,594.0,1563.7,582.7,1.27,138
g0310.asc,19,2,1,921828,921902,76,1552.6,591.2,647.2,603.8,22.06,432
g0310.asc,19,2,1,922000,922030,32,630.9,587.1,439.3,587.9,4.58,252
g0310.asc,20,1,1,926104,926214,112,954.4,511.6,937.6,525.1,0.57,221
g0310.asc,20,1,1,926312,926326,16,941.8,479.8,939.3,508.2,0.81,82
g0310.asc,20,1,1,926408,926414,8,942.5,528.2,952.0,526.0,0.25,58
g0310.asc,20,2,1,927736,927782,48,943.3,531.3,541.3,523.0,9.95,299
g0310.asc,20,2,1,927888,927910,24,533.9,521.3,425.4,540.7,2.64,181
g0310.asc,20,2,1,928124,928190,68,417.7,547.4,1593.2,627.5,28.04,706
g0310.asc,20,2,1,928848,928894,48,1558.7,554.7,980.7,538.9,14.38,506
