Interval=	0.001 s
ExcelDateTime=	4.5785602370697263e+004	2025/05/08 14:27:24.828244
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	5.000 V
0.881	-0.017
0.882	-0.016
0.883	-0.016
0.884	-0.015
0.885	-0.013
0.886	-0.013
0.887	-0.016
0.888	-0.016
0.889	-0.016
0.89	-0.018
0.891	-0.018
0.892	-0.017
0.893	-0.015
0.894	-0.016
0.895	-0.018
0.896	-0.017
0.897	-0.016
0.898	-0.017
0.899	-0.016
0.9	-0.016
0.901	-0.014
0.902	-0.015
0.903	-0.016
0.904	-0.015
0.905	-0.015
0.906	-0.016
0.907	-0.018
0.908	-0.019
0.909	-0.017
0.91	-0.014
0.911	-0.016
0.912	-0.016
0.913	-0.017
0.914	-0.018
0.915	-0.018
0.916	-0.018
0.917	-0.016
0.918	-0.014
0.919	-0.015
0.92	-0.015
0.921	-0.014
0.922	-0.016
0.923	-0.018
0.924	-0.019
0.925	-0.019
0.926	-0.017
0.927	-0.015
0.928	-0.017
0.929	-0.017
0.93	-0.016
0.931	-0.017
0.932	-0.018
0.933	-0.018
0.934	-0.015
0.935	-0.014
0.936	-0.014
0.937	-0.014
0.938	-0.015
0.939	-0.016
0.94	-0.017
0.941	-0.018
0.942	-0.016
0.943	-0.015
0.944	-0.016
0.945	-0.018
0.946	-0.018
0.947	-0.018
0.948	-0.017
0.949	-0.018
0.95	-0.017
0.951	-0.013
0.952	-0.011
0.953	-0.015
0.954	-0.015
0.955	-0.017
0.956	-0.018
0.957	-0.018
0.958	-0.018
0.959	-0.017
0.96	-0.012
0.961	-0.016
0.962	-0.017
0.963	-0.016
0.964	-0.018
0.965	-0.017
0.966	-0.017
0.967	-0.015
0.968	-0.012
0.969	-0.013
0.97	-0.014
0.971	-0.015
0.972	-0.016
0.973	-0.016
0.974	-0.018
0.975	-0.018
0.976	-0.015
0.977	-0.014
0.978	-0.017
0.979	-0.017
0.98	-0.017
0.981	-0.018
0.982	-0.018
0.983	-0.017
0.984	-0.015
0.985	-0.014
0.986	-0.015
0.987	-0.014
0.988	-0.014
0.989	-0.016
0.99	-0.017
0.991	-0.019
0.992	-0.018
0.993	-0.016
0.994	-0.016
0.995	-0.018
0.996	-0.018
0.997	-0.017
0.998	-0.018
0.999	-0.017
1	-0.017
1.001	-0.013
1.002	-0.012
1.003	-0.014
1.004	-0.015
1.005	-0.016
1.006	-0.018
1.007	-0.018
1.008	-0.018
1.009	-0.017
1.01	-0.014
1.011	-0.016
1.012	-0.017
1.013	-0.017
1.014	-0.018
1.015	-0.018
1.016	-0.016
1.017	-0.016
1.018	-0.014
1.019	-0.013
1.02	-0.014
1.021	-0.014
1.022	-0.015
1.023	-0.016
1.024	-0.019
1.025	-0.018
1.026	-0.016
1.027	-0.016
1.028	-0.016
1.029	-0.017
1.03	-0.017
1.031	-0.018
1.032	-0.019
1.033	-0.018
1.034	-0.016
1.035	-0.013
1.036	-0.014
1.037	-0.015
1.038	-0.014
1.039	-0.015
1.04	-0.018
1.041	-0.018
1.042	-0.018
1.043	-0.016
1.044	-0.015
1.045	-0.017
1.046	-0.017
1.047	-0.017
1.048	-0.016
1.049	-0.018
1.05	-0.017
1.051	-0.014
1.052	-0.014
1.053	-0.016
1.054	-0.015
1.055	-0.016
1.056	-0.018
1.057	-0.019
1.058	-0.018
1.059	-0.017
1.06	-0.015
1.061	-0.016
1.062	-0.017
1.063	-0.018
1.064	-0.018
1.065	-0.017
1.066	-0.018
1.067	-0.015
1.068	-0.013
1.069	-0.013
1.07	-0.015
1.071	-0.015
1.072	-0.015
1.073	-0.017
1.074	-0.018
1.075	-0.018
1.076	-0.017
1.077	-0.015
1.078	-0.018
1.079	-0.018
1.08	-0.017
1.081	-0.017
1.082	-0.017
1.083	-0.016
1.084	-0.015
1.085	-0.014
1.086	-0.015
1.087	-0.015
1.088	-0.015
1.089	-0.017
1.09	-0.017
1.091	-0.018
1.092	-0.018
1.093	-0.014
1.094	-0.015
1.095	-0.017
1.096	-0.018
1.097	-0.018
1.098	-0.018
1.099	-0.018
1.1	-0.016
1.101	-0.013
1.102	-0.013
1.103	-0.014
1.104	-0.014
1.105	-0.015
1.106	-0.016
1.107	-0.018
1.108	-0.019
1.109	-0.018
1.11	-0.015
1.111	-0.016
1.112	-0.018
1.113	-0.018
1.114	-0.017
1.115	-0.017
1.116	-0.017
1.117	-0.016
1.118	-0.013
1.119	-0.014
1.12	-0.015
1.121	-0.016
1.122	-0.016
1.123	-0.017
1.124	-0.019
1.125	-0.018
1.126	-0.015
1.127	-0.014
1.128	-0.017
1.129	-0.017
1.13	-0.017
1.131	-0.018
1.132	-0.017
1.133	-0.018
1.134	-0.015
1.135	-0.012
1.136	-0.015
1.137	-0.014
1.138	-0.013
1.139	-0.017
1.14	-0.016
1.141	-0.018
1.142	-0.019
1.143	-0.016
1.144	-0.017
1.145	-0.018
1.146	-0.018
1.147	-0.017
1.148	-0.018
1.149	-0.016
1.15	-0.015
1.151	-0.014
1.152	-0.012
1.153	-0.015
1.154	-0.015
1.155	-0.016
1.156	-0.017
1.157	-0.018
1.158	-0.019
1.159	-0.018
1.16	-0.014
1.161	-0.016
1.162	-0.017
1.163	-0.017
1.164	-0.018
1.165	-0.017
1.166	-0.017
1.167	-0.016
1.168	-0.012
1.169	-0.013
1.17	-0.016
1.171	-0.015
1.172	-0.016
1.173	-0.017
1.174	-0.018
1.175	-0.018
1.176	-0.017
1.177	-0.015
1.178	-0.017
1.179	-0.017
1.18	-0.018
1.181	-0.018
1.182	-0.017
1.183	-0.016
1.184	-0.016
1.185	-0.013
1.186	-0.013
1.187	-0.014
1.188	-0.014
1.189	-0.016
1.19	-0.018
1.191	-0.017
1.192	-0.018
1.193	-0.015
1.194	-0.014
1.195	-0.017
1.196	-0.017
1.197	-0.018
1.198	-0.018
1.199	-0.017
1.2	-0.016
1.201	-0.015
1.202	-0.015
1.203	-0.014
1.204	-0.013
1.205	-0.015
1.206	-0.017
1.207	-0.018
1.208	-0.018
1.209	-0.018
1.21	-0.015
1.211	-0.016
1.212	-0.017
1.213	-0.016
1.214	-0.018
1.215	-0.018
1.216	-0.018
1.217	-0.017
1.218	-0.015
1.219	-0.015
1.22	-0.015
1.221	-0.014
1.222	-0.015
1.223	-0.018
1.224	-0.019
1.225	-0.018
1.226	-0.016
1.227	-0.014
1.228	-0.016
1.229	-0.016
1.23	-0.017
1.231	-0.018
1.232	-0.017
1.233	-0.018
1.234	-0.016
1.235	-0.013
1.236	-0.014
1.237	-0.014
1.238	-0.015
1.239	-0.016
1.24	-0.018
1.241	-0.020
1.242	-0.018
1.243	-0.016
1.244	-0.015
1.245	-0.017
1.246	-0.018
1.247	-0.017
1.248	-0.018
1.249	-0.018
1.25	-0.018
1.251	-0.015
1.252	-0.013
1.253	-0.014
1.254	-0.013
1.255	-0.015
1.256	-0.015
1.257	-0.017
1.258	-0.017
1.259	-0.017
1.26	-0.015
1.261	-0.015
1.262	-0.017
1.263	-0.017
1.264	-0.017
1.265	-0.017
1.266	-0.018
1.267	-0.016
1.268	-0.013
1.269	-0.013
1.27	-0.014
1.271	-0.012
1.272	-0.014
1.273	-0.017
1.274	-0.018
1.275	-0.020
1.276	-0.016
1.277	-0.015
1.278	-0.017
1.279	-0.019
1.28	-0.018
1.281	-0.018
1.282	-0.018
1.283	-0.017
1.284	-0.015
1.285	-0.013
1.286	-0.015
1.287	-0.015
1.288	-0.014
1.289	-0.015
1.29	-0.017
1.291	-0.019
1.292	-0.019
1.293	-0.015
1.294	-0.014
1.295	-0.016
1.296	-0.018
1.297	-0.018
1.298	-0.016
1.299	-0.015
1.3	-0.017
1.301	-0.014
1.302	-0.011
1.303	-0.013
1.304	-0.015
1.305	-0.015
1.306	-0.016
1.307	-0.018
1.308	-0.019
1.309	-0.018
1.31	-0.016
1.311	-0.016
1.312	-0.019
1.313	-0.018
1.314	-0.017
1.315	-0.018
1.316	-0.017
1.317	-0.016
1.318	-0.014
1.319	-0.013
1.32	-0.016
1.321	-0.016
1.322	-0.017
1.323	-0.018
1.324	-0.019
1.325	-0.019
1.326	-0.016
1.327	-0.014
1.328	-0.017
1.329	-0.017
1.33	-0.017
1.331	-0.018
1.332	-0.018
1.333	-0.019
1.334	-0.015
1.335	-0.014
1.336	-0.015
1.337	-0.015
1.338	-0.014
1.339	-0.016
1.34	-0.018
1.341	-0.021
1.342	-0.020
1.343	-0.016
1.344	-0.014
1.345	-0.016
1.346	-0.019
1.347	-0.020
1.348	-0.019
1.349	-0.017
1.35	-0.015
1.351	-0.013
1.352	-0.012
1.353	-0.014
1.354	-0.013
1.355	-0.013
1.356	-0.015
1.357	-0.017
1.358	-0.017
1.359	-0.018
1.36	-0.014
1.361	-0.016
1.362	-0.017
1.363	-0.017
1.364	-0.017
1.365	-0.017
1.366	-0.018
1.367	-0.016
1.368	-0.012
1.369	-0.013
1.37	-0.015
1.371	-0.014
1.372	-0.015
1.373	-0.016
1.374	-0.018
1.375	-0.018
1.376	-0.017
1.377	-0.015
1.378	-0.017
1.379	-0.018
1.38	-0.018
1.381	-0.017
1.382	-0.017
1.383	-0.017
1.384	-0.015
1.385	-0.012
1.386	-0.014
1.387	-0.014
